sch,rdg,math,sci,sid,schid
5,11.579,12.013,7.028,4554034,45540
5,9.439,0.705,5.62,4554037,45540
5,4.491,29.272,15.803,4554038,45540
5,2.697,2.081,6.045,4554040,45540
5,9.074,10.423,5.498,4554041,45540
5,13.113,12.136,9.73,4554043,45540
5,12.02,20.321,5.954,4554047,45540
5,1.433,8.047,2.786,4554050,45540
5,11.01,22.147,11.091,4554051,45540
5,10.936,21.56,9.852,4554054,45540
5,2.723,16.499,4.495,4554055,45540
5,0.231,17.33,4.807,4554061,45540
5,4.585,15.203,5.158,4554062,45540
5,13.161,13.042,7.034,4554065,45540
5,9.671,12.097,5.619,4554068,45540
5,10.111,9.268,2.815,4554072,45540
5,7.431,-0.355,3.52,4554073,45540
5,11.579,20.771,9.567,4554074,45540
5,1.174,0.446,-0.815,4554075,45540
5,11.997,21.258,11.512,4554077,45540
5,10.931,7.156,1.733,4554078,45540
5,2.894,12.294,6.862,4554080,45540
5,9.107,30.018,7.423,4554081,45540
5,7.71,9.195,2.216,4554083,45540
5,16.551,36.904,14.369,4554084,45540
5,11.278,5.511,8.451,4554087,45540
5,0.582,-2.258,2.536,4554093,45540
5,19.712,21.561,11.098,4554098,45540
5,13.572,24.806,14.625,4554099,45540
6,20.275,34.673,14.12,4634400,46344
6,16.214,38.365,16.632,4634404,46344
6,18.441,38.997,16.05,4634405,46344
6,4.341,18.545,8.297,4634406,46344
6,-0.627,27.534,6.357,4634407,46344
6,6.873,16.179,6.513,4634408,46344
6,12.442,23.382,7.756,4634412,46344
6,4.084,35.165,11.154,4634413,46344
6,11.26,12.472,6.471,4634414,46344
6,9.909,27.947,10.988,4634416,46344
6,6.173,32.294,20.804,4634417,46344
6,15.54,17.185,9.601,4634418,46344
6,14.6,10.956,12.9,4634419,46344
6,5.439,16.76,6.221,4634420,46344
6,14.979,17.319,15.101,4634421,46344
6,18.762,23.637,18.883,4634422,46344
6,13.226,15.188,9.362,4634427,46344
6,7.564,7.111,10.566,4634429,46344
6,20.275,31.44,15.263,4634430,46344
6,19.249,9.669,7.055,4634432,46344
6,7.533,20.325,8.831,4634434,46344
6,20.275,28.613,17.117,4634438,46344
6,16.889,21.108,13.397,4634439,46344
6,3.184,2.699,4.177,4634440,46344
6,13.953,29.953,16.472,4634441,46344
6,18.701,36.726,16.635,4634445,46344
6,16.094,16.538,10.66,4634446,46344
6,18.023,20.384,13.366,4634447,46344
6,15.556,32.823,22.532,4634448,46344
6,-0.627,4.903,3.543,4634450,46344
6,0.237,18.901,14.69,4634451,46344
6,17.886,22.58,12.357,4634455,46344
6,-0.627,-1.24,-0.815,4634456,46344
6,6.011,3.847,12.383,4634457,46344
6,15.112,34.051,22.073,4634458,46344
6,15.53,37.06,11.258,4634459,46344
6,11.611,16.678,13.131,4634464,46344
6,19.249,39.229,17.144,4634465,46344
6,18.083,35.098,17.796,4634466,46344
6,16.055,30.052,4.907,4634467,46344
6,1.437,10.432,5.028,4634469,46344
6,16.091,26.355,19.18,4634470,46344
6,2.563,-3.266,3.3,4634472,46344
6,17.588,21.085,15.29,4634473,46344
6,17.506,20.551,4.923,4634476,46344
6,16.347,32.632,17.051,4634478,46344
6,14.393,12.211,17.468,4634479,46344
6,5.519,1.765,4.029,4634484,46344
6,19.124,13.526,10.442,4634485,46344
6,12.43,17.719,15.881,4634486,46344
6,11.017,18.552,10.526,4634488,46344
6,19.359,38.272,21.317,4634490,46344
6,8.5,14.661,13.943,4634491,46344
6,6.496,18.817,6.832,4634492,46344
6,5.252,-0.646,4.599,4634493,46344
6,20.861,38.032,19.673,4634494,46344
6,6.887,5.726,9.178,4634495,46344
6,17.821,35.321,20.428,4634496,46344
6,20.275,35.4,18.022,4634497,46344
7,11.536,32.207,12.541,5400202,54002
7,13.678,13.409,9.962,5400206,54002
7,13.091,33.019,13.731,5400208,54002
7,17.228,32.99,19.419,5400209,54002
7,7.858,26.544,14.055,5400212,54002
7,16.042,35.105,17.241,5400213,54002
7,16.037,19.571,16.365,5400215,54002
7,8.414,18.434,3.736,5400216,54002
7,16.477,27.723,15.396,5400217,54002
7,20.861,14.1,14.397,5400219,54002
7,7.22,10.786,8.506,5400221,54002
7,6.418,7.194,9.967,5400223,54002
7,14.667,19.013,8.049,5400224,54002
7,10.219,10.102,6.081,5400225,54002
7,17.501,23.938,10.691,5400227,54002
7,20.275,26.863,12.281,5400231,54002
7,19.276,27.892,12.769,5400233,54002
7,20.861,32.14,19.314,5400237,54002
7,17.743,19.718,12.67,5400238,54002
7,18.503,16.327,16.952,5400239,54002
7,13.172,27.846,10.932,5400240,54002
7,11.697,16.223,14.719,5400242,54002
7,20.861,26.245,16.296,5400243,54002
7,16.913,24.174,12.247,5400246,54002
7,19.166,24.757,3.651,5400248,54002
7,16.007,33.874,21.909,5400249,54002
7,12.198,15.88,16.38,5400250,54002
7,7.424,22.987,13.447,5400251,54002
7,-0.627,7.93,3.868,5400254,54002
7,14.315,33.55,15.208,5400255,54002
7,17.917,20.076,14.101,5400256,54002
7,11.63,10.31,1.925,5400258,54002
7,17.36,30.045,15.873,5400260,54002
7,9.402,16.203,11.021,5400261,54002
7,20.861,20.114,18.871,5400262,54002
7,17.609,33.18,17.108,5400263,54002
7,16.969,18.974,12.274,5400264,54002
